
========== NATURAL LANGUAGE QUERY ==========
what is the schema of the db

========== GENERATED SQL ==========
SELECT 
    TABLE_SCHEMA,
    TABLE_NAME,
    COLUMN_NAME,
    ORDINAL_POSITION,
    DATA_TYPE,
    CHARACTER_MAXIMUM_LENGTH,
    NUMERIC_PRECISION,
    NUMERIC_SCALE,
    IS_NULLABLE
FROM INFORMATION_SCHEMA.COLUMNS
ORDER BY TABLE_SCHEMA, TABLE_NAME, ORDINAL_POSITION;

========== SQL QUERY RESULTS (TABLE) ==========
TABLE_SCHEMA | TABLE_NAME                        | COLUMN_NAME                   | ORDINAL_POSITION | DATA_TYPE        | CHARACTER_MAXIMUM_LENGTH | NUMERIC_PRECISION | NUMERIC_SCALE | IS_NULLABLE
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_OVERALL_STATUS_CODE        | 3                | nvarchar         | 10                       | None              | None          | NO         
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_OVERALL_STATUS_DESCRIPTION | 4                | nvarchar         | 100                      | None              | None          | NO         
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_DESCRIPTION                | 5                | nvarchar         | 255                      | None              | None          | NO         
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_CURRENCY_CODE              | 6                | nvarchar         | 3                        | None              | None          | NO         
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_LIMIT_SECTION_ID           | 7                | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_LIMIT_TYPE                 | 8                | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_PRODUCT_TYPE_CODE          | 9                | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_PRODUCT_TYPE_DESC          | 10               | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_EFFECTIVE_DATE             | 11               | date             | None                     | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_MATURITY_DATE              | 12               | date             | None                     | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_CUSTOMER_ID                | 13               | nvarchar         | 20                       | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_CUSTOMER_NAME              | 14               | nvarchar         | 255                      | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | CA_COUNTRY_OF_EXPOSURE_RISK   | 15               | nvarchar         | 3                        | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | FACILITY_PURPOSE              | 16               | nvarchar         | 255                      | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | COMMITMENT_AMOUNT             | 17               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | AVAILABLE_AMOUNT              | 18               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | RENEWAL_INDICATOR             | 19               | nchar            | 1                        | None              | None          | YES        
dbo          | FIS_CA_PRODUCT_DIMENSION          | PRICING_OPTION                | 20               | nvarchar         | 50                       | None              | None          | YES        
dbo          | FIS_CL_DETAIL_FACT                | CL_DETAIL_KEY                 | 1                | bigint           | None                     | 19                | 0             | NO         
dbo          | FIS_CL_DETAIL_FACT                | LOAN_PRODUCT_KEY              | 2                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CL_DETAIL_FACT                | CUSTOMER_KEY                  | 3                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CL_DETAIL_FACT                | INVESTOR_KEY                  | 4                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CL_DETAIL_FACT                | OWNER_KEY                     | 5                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CL_DETAIL_FACT                | CURRENCY_KEY                  | 6                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CL_DETAIL_FACT                | MONTH_ID                      | 7                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CL_DETAIL_FACT                | LOAN_ID                       | 8                | nvarchar         | 50                       | None              | None          | NO         
dbo          | FIS_CL_DETAIL_FACT                | FACILITY_ID                   | 9                | nvarchar         | 50                       | None              | None          | YES        
dbo          | FIS_CL_DETAIL_FACT                | LOAN_CURRENCY_CODE            | 10               | nvarchar         | 3                        | None              | None          | NO         
dbo          | FIS_CL_DETAIL_FACT                | AS_OF_DATE                    | 11               | date             | None                     | None              | None          | NO         
dbo          | FIS_CL_DETAIL_FACT                | CURRENT_PRINCIPAL_BALANCE     | 12               | decimal          | None                     | 18                | 2             | NO         
dbo          | FIS_CL_DETAIL_FACT                | PRINCIPAL_BALANCE             | 13               | decimal          | None                     | 18                | 2             | NO         
dbo          | FIS_CL_DETAIL_FACT                | PRINCIPAL_PAID                | 14               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | INTEREST_BALANCE              | 15               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | INTEREST_ACCRUED              | 16               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | INTEREST_PAID                 | 17               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | INTEREST_RECEIVED             | 18               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | FEE_BALANCE                   | 19               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | FEE_PAID                      | 20               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | OTHER_BALANCES                | 21               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | TOTAL_BALANCE                 | 22               | decimal          | None                     | 18                | 2             | NO         
dbo          | FIS_CL_DETAIL_FACT                | TOTAL_PAID                    | 23               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | REVOLVING_ACCOUNT_LIMIT       | 24               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | REVOLVING_ACCOUNT_AVAILABLE   | 25               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | ORIGINAL_AMOUNT               | 26               | decimal          | None                     | 18                | 2             | NO         
dbo          | FIS_CL_DETAIL_FACT                | ORIGINAL_TERM                 | 27               | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CL_DETAIL_FACT                | REMAINING_TERM                | 28               | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CL_DETAIL_FACT                | LOAN_STATUS                   | 29               | nvarchar         | 10                       | None              | None          | NO         
dbo          | FIS_CL_DETAIL_FACT                | LOAN_STATUS_DESCRIPTION       | 30               | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_CL_DETAIL_FACT                | MATURITY_DATE                 | 31               | date             | None                     | None              | None          | NO         
dbo          | FIS_CL_DETAIL_FACT                | EFFECTIVE_DATE                | 32               | date             | None                     | None              | None          | NO         
dbo          | FIS_CL_DETAIL_FACT                | NEXT_PAYMENT_DATE             | 33               | date             | None                     | None              | None          | YES        
dbo          | FIS_CL_DETAIL_FACT                | INTEREST_RATE                 | 34               | decimal          | None                     | 8                 | 6             | NO         
dbo          | FIS_CL_DETAIL_FACT                | BASE_RATE                     | 35               | decimal          | None                     | 8                 | 6             | NO         
dbo          | FIS_CL_DETAIL_FACT                | MARGIN_RATE                   | 36               | decimal          | None                     | 8                 | 6             | NO         
dbo          | FIS_CL_DETAIL_FACT                | EFFECTIVE_RATE                | 37               | decimal          | None                     | 8                 | 6             | NO         
dbo          | FIS_CL_DETAIL_FACT                | SCHEDULED_PAYMENT             | 38               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | ACTUAL_PAYMENT                | 39               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | PAYMENT_DIFFERENCE            | 40               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | PAST_DUE_DAYS                 | 41               | int              | None                     | 10                | 0             | YES        
dbo          | FIS_CL_DETAIL_FACT                | IS_NON_PERFORMING             | 42               | bit              | None                     | None              | None          | YES        
dbo          | FIS_CL_DETAIL_FACT                | IS_DEFAULT                    | 43               | bit              | None                     | None              | None          | YES        
dbo          | FIS_CL_DETAIL_FACT                | CHARGE_OFF_AMOUNT             | 44               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | RECOVERY_AMOUNT               | 45               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | PROVISION_AMOUNT              | 46               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CL_DETAIL_FACT                | RISK_RATING                   | 47               | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_CL_DETAIL_FACT                | PROBABILITY_OF_DEFAULT        | 48               | decimal          | None                     | 8                 | 6             | YES        
dbo          | FIS_CL_DETAIL_FACT                | LOSS_GIVEN_DEFAULT            | 49               | decimal          | None                     | 8                 | 6             | YES        
dbo          | FIS_CL_DETAIL_FACT                | EXPOSURE_AT_DEFAULT           | 50               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_CURRENCY_DIMENSION            | CURRENCY_KEY                  | 1                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CURRENCY_DIMENSION            | FROM_CURRENCY_CODE            | 2                | nvarchar         | 3                        | None              | None          | NO         
dbo          | FIS_CURRENCY_DIMENSION            | FROM_CURRENCY_DESCRIPTION     | 3                | nvarchar         | 100                      | None              | None          | NO         
dbo          | FIS_CURRENCY_DIMENSION            | TO_CURRENCY_CODE              | 4                | nvarchar         | 3                        | None              | None          | NO         
dbo          | FIS_CURRENCY_DIMENSION            | TO_CURRENCY_DESCRIPTION       | 5                | nvarchar         | 100                      | None              | None          | NO         
dbo          | FIS_CURRENCY_DIMENSION            | CURRENCY_MONTH_ID             | 6                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CURRENCY_DIMENSION            | CURRENCY_RATE_GROUP           | 7                | nvarchar         | 20                       | None              | None          | NO         
dbo          | FIS_CURRENCY_DIMENSION            | CRNCY_EXCHANGE_RATE           | 8                | decimal          | None                     | 18                | 12            | NO         
dbo          | FIS_CURRENCY_DIMENSION            | OPERATION_INDICATOR           | 9                | nchar            | 1                        | None              | None          | NO         
dbo          | FIS_CURRENCY_DIMENSION            | CONVERSION_RATE               | 10               | decimal          | None                     | 18                | 6             | NO         
dbo          | FIS_CUSTOMER_DIMENSION            | CUSTOMER_KEY                  | 1                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_CUSTOMER_DIMENSION            | CUSTOMER_ID                   | 2                | nvarchar         | 20                       | None              | None          | NO         
dbo          | FIS_CUSTOMER_DIMENSION            | CUSTOMER_NAME                 | 3                | nvarchar         | 255                      | None              | None          | NO         
dbo          | FIS_CUSTOMER_DIMENSION            | CUSTOMER_SHORT_NAME           | 4                | nvarchar         | 50                       | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | CUSTOMER_TYPE_CODE            | 5                | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | CUSTOMER_TYPE_DESCRIPTION     | 6                | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | INDUSTRY_CODE                 | 7                | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | INDUSTRY_DESCRIPTION          | 8                | nvarchar         | 255                      | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | COUNTRY_CODE                  | 9                | nvarchar         | 3                        | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | COUNTRY_DESCRIPTION           | 10               | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | STATE_CODE                    | 11               | nvarchar         | 5                        | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | STATE_DESCRIPTION             | 12               | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | CITY                          | 13               | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | POSTAL_CODE                   | 14               | nvarchar         | 20                       | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | RISK_RATING_CODE              | 15               | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | RISK_RATING_DESCRIPTION       | 16               | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | CUSTOMER_STATUS               | 17               | nvarchar         | 20                       | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | ESTABLISHED_DATE              | 18               | date             | None                     | None              | None          | YES        
dbo          | FIS_CUSTOMER_DIMENSION            | RELATIONSHIP_MANAGER          | 19               | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_KEY                  | 1                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_TYPE_CODE            | 2                | nvarchar         | 10                       | None              | None          | NO         
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_TYPE_DESCRIPTION     | 3                | nvarchar         | 100                      | None              | None          | NO         
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_ACCOUNT_TYPE_CODE    | 4                | nvarchar         | 10                       | None              | None          | NO         
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_ACCOUNT_TYPE_DESC    | 5                | nvarchar         | 100                      | None              | None          | NO         
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_CLASS_CODE           | 6                | nvarchar         | 10                       | None              | None          | NO         
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_CLASS_DESCRIPTION    | 7                | nvarchar         | 100                      | None              | None          | NO         
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_DOMAIN_CODE          | 8                | nvarchar         | 10                       | None              | None          | NO         
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_DOMAIN_DESCRIPTION   | 9                | nvarchar         | 100                      | None              | None          | NO         
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_NAME                 | 10               | nvarchar         | 255                      | None              | None          | YES        
dbo          | FIS_INVESTOR_DIMENSION            | INVESTOR_ID                   | 11               | nvarchar         | 50                       | None              | None          | YES        
dbo          | FIS_INVESTOR_DIMENSION            | PARTICIPATION_PERCENTAGE      | 12               | decimal          | None                     | 5                 | 4             | YES        
dbo          | FIS_INVESTOR_DIMENSION            | EFFECTIVE_DATE                | 13               | date             | None                     | None              | None          | YES        
dbo          | FIS_INVESTOR_DIMENSION            | EXPIRATION_DATE               | 14               | date             | None                     | None              | None          | YES        
dbo          | FIS_LIMIT_DIMENSION               | LIMIT_KEY                     | 1                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_LIMIT_DIMENSION               | CA_LIMIT_SECTION_ID           | 2                | nvarchar         | 10                       | None              | None          | NO         
dbo          | FIS_LIMIT_DIMENSION               | CA_LIMIT_TYPE                 | 3                | nvarchar         | 10                       | None              | None          | NO         
dbo          | FIS_LIMIT_DIMENSION               | LIMIT_STATUS_CODE             | 4                | nvarchar         | 10                       | None              | None          | NO         
dbo          | FIS_LIMIT_DIMENSION               | LIMIT_STATUS_DESCRIPTION      | 5                | nvarchar         | 100                      | None              | None          | NO         
dbo          | FIS_LIMIT_DIMENSION               | LIMIT_CURRENCY_CODE           | 6                | nvarchar         | 3                        | None              | None          | NO         
dbo          | FIS_LIMIT_DIMENSION               | LIMIT_DESCRIPTION             | 7                | nvarchar         | 255                      | None              | None          | NO         
dbo          | FIS_LIMIT_DIMENSION               | LIMIT_TYPE_DESCRIPTION        | 8                | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_LIMIT_DIMENSION               | FACILITY_TYPE_CODE            | 9                | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_LIMIT_DIMENSION               | FACILITY_TYPE_DESCRIPTION     | 10               | nvarchar         | 100                      | None              | None          | YES        
dbo          | FIS_LIMIT_DIMENSION               | EFFECTIVE_DATE                | 11               | date             | None                     | None              | None          | YES        
dbo          | FIS_LIMIT_DIMENSION               | MATURITY_DATE                 | 12               | date             | None                     | None              | None          | YES        
dbo          | FIS_LIMIT_DIMENSION               | ORIGINAL_LIMIT_AMOUNT         | 13               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_LIMIT_DIMENSION               | CURRENT_LIMIT_AMOUNT          | 14               | decimal          | None                     | 18                | 2             | YES        
dbo          | FIS_LIMIT_DIMENSION               | COMMITMENT_FEE_RATE           | 15               | decimal          | None                     | 8                 | 6             | YES        
dbo          | FIS_LIMIT_DIMENSION               | UTILIZATION_FEE_RATE          | 16               | decimal          | None                     | 8                 | 6             | YES        
dbo          | FIS_LIMIT_DIMENSION               | REVIEW_DATE                   | 17               | date             | None                     | None              | None          | YES        
dbo          | FIS_LIMIT_DIMENSION               | RENEWAL_TERMS                 | 18               | nvarchar         | 500                      | None              | None          | YES        
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | ANALYSIS_ID                   | 1                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | ANALYSIS_DATE                 | 2                | datetime2        | None                     | None              | None          | YES        
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | COUNTRY_OF_RISK               | 3                | nvarchar         | 100                      | None              | None          | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | CUSTOMER_COUNT                | 4                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | LOAN_COUNT                    | 5                | int              | None                     | 10                | 0             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | TOTAL_EXPOSURE_USD            | 6                | decimal          | None                     | 18                | 2             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | AVG_BALANCE_PER_CUSTOMER_USD  | 7                | decimal          | None                     | 18                | 2             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | AVG_BALANCE_PER_LOAN_USD      | 8                | decimal          | None                     | 18                | 2             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | TOTAL_CREDIT_LIMIT_USD        | 9                | decimal          | None                     | 18                | 2             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | UTILIZATION_PERCENTAGE        | 10               | decimal          | None                     | 5                 | 2             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | AVG_INTEREST_RATE             | 11               | decimal          | None                     | 8                 | 4             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | PORTFOLIO_PERCENTAGE          | 12               | decimal          | None                     | 5                 | 2             | NO         
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | COUNTRY_RISK_RATING           | 13               | nvarchar         | 20                       | None              | None          | YES        
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | SOVEREIGN_RATING              | 14               | nvarchar         | 10                       | None              | None          | YES        
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | CONCENTRATION_RISK            | 15               | nvarchar         | 50                       | None              | None          | YES        
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | CURRENCY_RISK                 | 16               | nvarchar         | 50                       | None              | None          | YES        
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | POLITICAL_RISK                | 17               | nvarchar         | 20                       | None              | None          | YES        
dbo          | FIS_LOAN_EXPOSURE_BY_COUNTRY      | ECONOMIC_STABILITY            | 18               | nvarchar         | 20                       | None              | None          | YES        
